Date	ETHEREUM
2017-07-26	197.01
2017-07-25	203.79
2017-07-24	225.76
2017-07-23	228.34
2017-07-22	230.69
2017-07-21	217
2017-07-20	226.35
2017-07-19	194.14
2017-07-18	227
2017-07-17	190.73
2017-07-16	155.47
2017-07-15	168.42
2017-07-14	197.23
2017-07-13	204.99
2017-07-12	224.81
2017-07-11	190.61
2017-07-10	204.56
2017-07-09	237.67
2017-07-08	246.68
2017-07-07	241.19
2017-07-06	266.01
2017-07-05	265.98
2017-07-04	269
2017-07-03	276.37
2017-07-02	284.46
2017-07-01	262.52
2017-06-30	280.73
2017-06-29	292.98
2017-06-28	315.32
2017-06-27	287.24
2017-06-26	251.64
