Date	LITECOIN
2017-07-26	41.28
2017-07-25	43.46
2017-07-24	42.89
2017-07-23	44.4
2017-07-22	43.96
2017-07-21	42.43
2017-07-20	39.7
2017-07-19	42.28
2017-07-18	41
2017-07-17	40.19
2017-07-16	38.14
2017-07-15	41.47
2017-07-14	44.25
2017-07-13	46.33
2017-07-12	43.52
2017-07-11	44.64
2017-07-10	47.9
2017-07-09	50.23
2017-07-08	45.6
2017-07-07	49.8
2017-07-06	50.68
2017-07-05	52.77
2017-07-04	44.15
2017-07-03	39.9
2017-07-02	37.25
2017-07-01	38.58
2017-06-30	39.4
2017-06-29	41.05
2017-06-28	39.2
2017-06-27	38.09
2017-06-26	41
