Date	LITECOIN
2017-07-26	41.28
2017-07-25	43.46
2017-07-24	42.89
2017-07-23	44.4
2017-07-22	43.96
2017-07-21	42.43
2017-07-20	39.7
2017-07-19	42.28
2017-07-18	41
2017-07-17	40.19
2017-07-16	38.14
2017-07-15	41.47
2017-07-14	44.25
2017-07-13	46.33
2017-07-12	43.52
2017-07-11	44.64
2017-07-10	47.9
2017-07-09	50.23
2017-07-08	45.6
2017-07-07	49.8
2017-07-06	50.68
2017-07-05	52.77
2017-07-04	44.15
2017-07-03	39.9
2017-07-02	37.25
2017-07-01	38.58
2017-06-30	39.4
2017-06-29	41.05
2017-06-28	39.2
2017-06-27	38.09
2017-06-26	41
2017-06-25	42.48
2017-06-24	44.8
2017-06-23	45.92
2017-06-22	43.93
2017-06-21	44.61
2017-06-20	46.22
2017-06-19	43.06
2017-06-18	44.86
2017-06-17	33.86
2017-06-16	29.42
2017-06-15	29.36
2017-06-14	29.88
2017-06-13	28.5
2017-06-12	32.32
2017-06-11	28.72
2017-06-10	28.58
2017-06-09	29.02
2017-06-08	28
2017-06-07	28.94
2017-06-06	29.95
2017-06-05	27.3
2017-06-04	26.5
2017-06-03	27.28
2017-06-02	26.44
2017-06-01	24.94
2017-05-31	23.68
2017-05-30	24.6
2017-05-29	22.93
2017-05-28	21.74
2017-05-27	24.25
2017-05-26	26.58
2017-05-25	33.5
2017-05-24	30.26
2017-05-23	24.56
2017-05-22	25.5
2017-05-21	26.58
2017-05-20	26.6
2017-05-19	27.17
2017-05-18	24.5
2017-05-17	22.38
2017-05-16	24.15
2017-05-15	27.42
2017-05-14	27.9
2017-05-13	26.8
2017-05-12	29.79
2017-05-11	30.71
2017-05-10	31.23
2017-05-09	27.59
2017-05-08	28.71
2017-05-07	26.75
2017-05-06	24.47
2017-05-05	21.92
2017-05-04	19.6
2017-05-03	15.43
2017-05-02	15.42
2017-05-01	15.25
2017-04-30	15.4
2017-04-29	14.2
2017-04-28	14.46
2017-04-27	14.88
2017-04-26	15.1
2017-04-25	14.99
2017-04-24	15.3
2017-04-23	14.01
2017-04-22	11.92
2017-04-21	10.92
2017-04-20	10.24
2017-04-19	11.12
2017-04-18	11.24
2017-04-17	11.69
2017-04-16	11.65
2017-04-15	11.7
2017-04-14	11.08
2017-04-13	11.56
2017-04-12	9.63
2017-04-11	9.75
2017-04-10	9.17
2017-04-09	10.6
2017-04-08	9.86
2017-04-07	10.55
2017-04-06	12.2
2017-04-05	8.93
2017-04-04	8.58
2017-04-03	8.2
2017-04-02	7.43
2017-04-01	7.08
2017-03-31	7.4
2017-03-30	4.32
2017-03-29	4.2
2017-03-28	4.14
2017-03-27	4.12
2017-03-26	4.16
2017-03-25	4.2
2017-03-24	4.1
2017-03-23	4.05
2017-03-22	4.14
2017-03-21	4.16
2017-03-20	4
2017-03-19	4.07
2017-03-18	4.25
2017-03-17	4.32
2017-03-16	4.23
2017-03-15	4.13
2017-03-14	4.34
2017-03-13	3.84
2017-03-12	3.78
2017-03-11	3.72
2017-03-10	3.87
2017-03-09	3.77
2017-03-08	3.96
2017-03-07	4.03
2017-03-06	3.95
2017-03-05	3.95
2017-03-04	3.98
2017-03-03	3.93
2017-03-02	3.77
2017-03-01	3.74
2017-02-28	3.78
2017-02-27	3.77
2017-02-26	3.83
2017-02-25	3.83
2017-02-24	3.78
2017-02-23	3.77
2017-02-22	3.72
2017-02-21	3.71
2017-02-20	3.72
2017-02-19	3.72
2017-02-18	3.82
2017-02-17	3.82
2017-02-16	3.8
2017-02-15	3.78
2017-02-14	3.7
2017-02-13	3.72
2017-02-12	3.76
2017-02-11	3.78
2017-02-10	3.62
2017-02-09	3.87
2017-02-08	3.9
2017-02-07	3.89
2017-02-06	3.89
2017-02-05	3.92
2017-02-04	3.96
2017-02-03	4.01
2017-02-02	3.99
2017-02-01	4
2017-01-31	4
2017-01-30	3.82
2017-01-29	3.82
2017-01-28	3.81
2017-01-27	3.77
2017-01-26	3.64
2017-01-25	3.77
2017-01-24	3.79
2017-01-23	3.79
2017-01-22	3.84
2017-01-21	3.86
2017-01-20	3.78
2017-01-19	3.83
2017-01-18	3.86
2017-01-17	3.82
2017-01-16	3.85
2017-01-15	3.91
2017-01-14	3.84
2017-01-13	3.96
2017-01-12	3.88
2017-01-11	4.4
2017-01-10	4.15
2017-01-09	3.81
2017-01-08	3.71
2017-01-07	3.67
2017-01-06	4.07
2017-01-05	4.44
2017-01-04	4.41
2017-01-03	4.43
2017-01-02	4.32
2017-01-01	4.16
2016-12-31	4.25
2016-12-30	4.35
2016-12-29	4.35
2016-12-28	4.24
2016-12-27	4.12
2016-12-26	4.15
2016-12-25	4.36
2016-12-24	4.49
2016-12-23	3.61
2016-12-22	3.58
2016-12-21	3.6
2016-12-20	3.61
2016-12-19	3.65
2016-12-18	3.64
2016-12-17	3.59
2016-12-16	3.6
2016-12-15	3.57
2016-12-14	3.59
2016-12-13	3.61
2016-12-12	3.6
2016-12-11	3.63
2016-12-10	3.63
2016-12-09	3.63
2016-12-08	3.62
2016-12-07	3.5
2016-12-06	3.47
2016-12-05	3.87
2016-12-04	3.87
2016-12-03	3.89
2016-12-02	3.83
2016-12-01	3.84
2016-11-30	3.83
2016-11-29	3.85
2016-11-28	3.87
2016-11-27	3.86
2016-11-26	3.88
2016-11-25	3.88
2016-11-24	3.9
2016-11-23	3.87
2016-11-22	3.92
2016-11-21	3.89
2016-11-20	3.89
2016-11-19	3.87
2016-11-18	3.84
2016-11-17	3.85
2016-11-16	3.84
2016-11-15	3.83
2016-11-14	3.86
2016-11-13	3.72
2016-11-12	3.79
2016-11-11	3.77
2016-11-10	3.8
2016-11-09	3.78
2016-11-08	3.8
2016-11-07	3.83
2016-11-06	3.85
2016-11-05	3.84
2016-11-04	3.84
2016-11-03	4.03
2016-11-02	4.02
2016-11-01	3.92
2016-10-31	3.92
2016-10-30	4.02
2016-10-29	3.94
2016-10-28	3.97
2016-10-27	3.93
2016-10-26	3.9
2016-10-25	3.84
2016-10-24	3.88
2016-10-23	3.82
2016-10-22	3.83
2016-10-21	3.77
2016-10-20	3.8
2016-10-19	3.83
2016-10-18	3.84
2016-10-17	3.85
2016-10-16	3.85
2016-10-15	3.88
2016-10-14	3.88
2016-10-13	3.79
2016-10-12	3.81
2016-10-11	3.79
2016-10-10	3.81
2016-10-09	3.82
2016-10-08	3.84
2016-10-07	3.8
2016-10-06	3.81
2016-10-05	3.82
2016-10-04	3.8
2016-10-03	3.82
2016-10-02	3.83
2016-10-01	3.8
2016-09-30	3.82
2016-09-29	3.85
2016-09-28	3.86
2016-09-27	3.87
2016-09-26	3.82
2016-09-25	3.82
2016-09-24	3.83
