Date	BITCOIN
2017-07-26	2415.3
2017-07-25	2563.4
2017-07-24	2762.3
2017-07-23	2754.3
2017-07-22	2825.3
2017-07-21	2665.9
2017-07-20	2849
2017-07-19	2257.9
2017-07-18	2308
2017-07-17	2229.5
2017-07-16	1910.9
2017-07-15	1969.1
2017-07-14	2217
2017-07-13	2337.5
2017-07-12	2386.2
2017-07-11	2310.2
2017-07-10	2333.1
2017-07-09	2509
2017-07-08	2560.1
2017-07-07	2501.3
2017-07-06	2604.4
2017-07-05	2616.5
2017-07-04	2607
2017-07-03	2542.4
2017-07-02	2513.3
2017-07-01	2420.2
2017-06-30	2457.5
2017-06-29	2536.5
2017-06-28	2553
2017-06-27	2569.1
2017-06-26	2411.3
2017-06-25	2500
2017-06-24	2575
2017-06-23	2690.8
2017-06-22	2679.9
2017-06-21	2643.3
2017-06-20	2725.1
2017-06-19	2597
2017-06-18	2512.9
2017-06-17	2643
2017-06-16	2486
2017-06-15	2409.9
2017-06-14	2433.9
2017-06-13	2708.8
2017-06-12	2655
2017-06-11	2999
2017-06-10	2931.1
2017-06-09	2811.4
2017-06-08	2799.7
2017-06-07	2685.6
2017-06-06	2871.3
2017-06-05	2698
2017-06-04	2521.4
2017-06-03	2548.1
2017-06-02	2479
2017-06-01	2420
2017-05-31	2303.3
2017-05-30	2191.6
2017-05-29	2279.5
2017-05-28	2232.8
2017-05-27	2100
2017-05-26	2272.7
2017-05-25	2355
2017-05-24	2433
2017-05-23	2272.8
2017-05-22	2123.3
2017-05-21	2057
2017-05-20	2058.9
2017-05-19	1976.2
2017-05-18	1899.2
2017-05-17	1813.2
2017-05-16	1777.5
2017-05-15	1747.8
2017-05-14	1800
2017-05-13	1792.7
2017-05-12	1695.6
2017-05-11	1837.9
2017-05-10	1795
2017-05-09	1720.4
2017-05-08	1713
2017-05-07	1609.6
2017-05-06	1585.4
2017-05-05	1551.3
2017-05-04	1563.4
2017-05-03	1533
2017-05-02	1472
2017-05-01	1436.5
2017-04-30	1384.6
2017-04-29	1365.4
2017-04-28	1353.3
2017-04-27	1349.3
2017-04-26	1298.4
2017-04-25	1281.2
2017-04-24	1257.3
2017-04-23	1252
2017-04-22	1247
2017-04-21	1250
2017-04-20	1236.2
2017-04-19	1214.2
2017-04-18	1201.9
2017-04-17	1189.9
2017-04-16	1178
2017-04-15	1178.8
2017-04-14	1173.7
2017-04-13	1177.1
2017-04-12	1214.2
2017-04-11	1224
2017-04-10	1210
2017-04-09	1211
2017-04-08	1184.5
2017-04-07	1194
2017-04-06	1192.3
2017-04-05	1133
2017-04-04	1144
2017-04-03	1152.6
2017-04-02	1114
2017-04-01	1092
2017-03-31	1089
2017-03-30	1042.3
2017-03-29	1043.3
2017-03-28	1045.4
2017-03-27	1042.1
2017-03-26	973.1
2017-03-25	963.7
2017-03-24	934.9
2017-03-23	1025.1
2017-03-22	1034.6
2017-03-21	1114.4
2017-03-20	1045
2017-03-19	1019.5
2017-03-18	970
2017-03-17	1069.6
2017-03-16	1175.1
2017-03-15	1263
2017-03-14	1247.4
2017-03-13	1245.5
2017-03-12	1235.6
2017-03-11	1188.1
2017-03-10	1109
2017-03-09	1197.3
2017-03-08	1150.2
2017-03-07	1237.4
2017-03-06	1285
2017-03-05	1279
2017-03-04	1274
2017-03-03	1292.9
2017-03-02	1269.2
2017-03-01	1230
2017-02-28	1195.1
2017-02-27	1195.8
2017-02-26	1184.9
2017-02-25	1158
2017-02-24	1186.9
2017-02-23	1186.9
2017-02-22	1128.7
2017-02-21	1128.3
2017-02-20	1089.8
2017-02-19	1059.9
2017-02-18	1062.2
2017-02-17	1057.3
2017-02-16	1038.9
2017-02-15	1014.5
2017-02-14	1013.9
2017-02-13	1002.8
2017-02-12	1010
2017-02-11	1018.7
2017-02-10	1002
2017-02-09	994.2
2017-02-08	1056.7
2017-02-07	1054
2017-02-06	1022.6
2017-02-05	1016.3
2017-02-04	1035.5
2017-02-03	1018
2017-02-02	1008.4
2017-02-01	992.8
2017-01-31	970
2017-01-30	923.2
2017-01-29	916.5
2017-01-28	925
2017-01-27	922.6
2017-01-26	917
